Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS004,3,Right Plantar Flexion,20,7,1,EEG20,ESG7,EMG1,0.0016617401270195,0.0072067282162606,1.197570946148463e-05,Pz,T12L1-C,R-MH,no,no
NIS005,0,Left Knee Flexion,27,3,2,EEG27,ESG3,EMG2,0.0015475704567506,0.0052653099410235,8.148438110363828e-06,T8,L1L2-L,L-RF,YES,YES
NIS005,0,Left Knee Flexion,20,3,2,EEG20,ESG3,EMG2,0.0013915497111156,0.0052653099410235,7.326940527365778e-06,Pz,L1L2-L,L-RF,YES,YES
NIS005,0,Left Knee Flexion,24,3,2,EEG24,ESG3,EMG2,0.0013444789219647,0.0052653099410235,7.079098233317752e-06,PO4,L1L2-L,L-RF,YES,YES
NIS005,0,Left Knee Flexion,27,0,2,EEG27,ESG0,EMG2,0.0014269506791606,0.0048549245111644,6.927737828479788e-06,T8,T10T11-L,L-RF,no,YES
NIS005,0,Left Knee Flexion,5,3,2,EEG5,ESG3,EMG2,0.0013156237546354,0.0052653099410235,6.92716683392883e-06,F4,L1L2-L,L-RF,YES,YES
NIS005,0,Left Knee Flexion,17,3,2,EEG17,ESG3,EMG2,0.0012056353734806,0.0052653099410235,6.3480439172371845e-06,CPz,L1L2-L,L-RF,YES,YES
NIS005,0,Left Knee Flexion,20,0,2,EEG20,ESG0,EMG2,0.001283090445213,0.0048549245111644,6.229307252505567e-06,Pz,T10T11-L,L-RF,no,YES
NIS005,0,Left Knee Flexion,11,3,2,EEG11,ESG3,EMG2,0.0011370095890015,0.0052653099410235,5.986707892008934e-06,C1,L1L2-L,L-RF,YES,YES
NIS005,0,Left Knee Flexion,27,6,2,EEG27,ESG6,EMG2,0.001301288139075,0.0044273817911744,5.761299412012071e-06,T8,T11T12-C,L-RF,no,YES
NIS005,0,Left Knee Flexion,7,3,2,EEG7,ESG3,EMG2,0.0010751106310635,0.0052653099410235,5.660790693439214e-06,FCz,L1L2-L,L-RF,YES,YES
NIS005,1,Left Plantar Flexion,16,3,1,EEG16,ESG3,EMG1,0.0012967929942533,0.0050085778348147,6.495088647360365e-06,CP3,L1L2-L,R-MH,YES,no
NIS005,1,Left Plantar Flexion,20,0,1,EEG20,ESG0,EMG1,0.0012345245340839,0.0051538343541324,6.3625349547809305e-06,Pz,T10T11-L,R-MH,no,no
NIS005,1,Left Plantar Flexion,20,3,1,EEG20,ESG3,EMG1,0.0011997305555269,0.0050085778348147,6.008943868162124e-06,Pz,L1L2-L,R-MH,YES,no
